time_s,h_m,v_vert_mps,v_horiz_mps,E_total_J,E_drift_rel
13.83000000,2109.82604550,135.67230000,0.00000000,29900.88000000,0.00000000
13.86000000,2105.75146200,135.96660000,0.00000000,29900.88000000,0.00000000
13.89000000,2101.66804950,136.26090000,0.00000000,29900.88000000,0.00000000
13.92000000,2097.57580800,136.55520000,0.00000000,29900.88000000,0.00000000
13.95000000,2093.47473750,136.84950000,0.00000000,29900.88000000,0.00000000
13.98000000,2089.36483800,137.14380000,0.00000000,29900.88000000,0.00000000
14.01000000,2085.24610950,137.43810000,0.00000000,29900.88000000,0.00000000
14.04000000,2081.11855200,137.73240000,0.00000000,29900.88000000,0.00000000
14.07000000,2076.98216550,138.02670000,0.00000000,29900.88000000,0.00000000
14.10000000,2072.83695000,138.32100000,0.00000000,29900.88000000,0.00000000
14.13000000,2068.68290550,138.61530000,0.00000000,29900.88000000,0.00000000
14.16000000,2064.52003200,138.90960000,0.00000000,29900.88000000,0.00000000
14.19000000,2060.34832950,139.20390000,0.00000000,29900.88000000,0.00000000
14.22000000,2056.16779800,139.49820000,0.00000000,29900.88000000,0.00000000
14.25000000,2051.97843750,139.79250000,0.00000000,29900.88000000,0.00000000
14.28000000,2047.78024800,140.08680000,0.00000000,29900.88000000,0.00000000
14.31000000,2043.57322950,140.38110000,0.00000000,29900.88000000,0.00000000
14.34000000,2039.35738200,140.67540000,0.00000000,29900.88000000,0.00000000
14.37000000,2035.13270550,140.96970000,0.00000000,29900.88000000,0.00000000
14.40000000,2030.89920000,141.26400000,0.00000000,29900.88000000,0.00000000
14.43000000,2026.65686550,141.55830000,0.00000000,29900.88000000,0.00000000
14.46000000,2022.40570200,141.85260000,0.00000000,29900.88000000,0.00000000
14.49000000,2018.14570950,142.14690000,0.00000000,29900.88000000,0.00000000
14.52000000,2013.87688800,142.44120000,0.00000000,29900.88000000,0.00000000
14.55000000,2009.59923750,142.73550000,0.00000000,29900.88000000,0.00000000
14.58000000,2005.31275800,143.02980000,0.00000000,29900.88000000,0.00000000
14.61000000,2001.01744950,143.32410000,0.00000000,29900.88000000,0.00000000
14.64000000,1996.71331200,143.61840000,0.00000000,29900.88000000,0.00000000
14.67000000,1992.40034550,143.91270000,0.00000000,29900.88000000,0.00000000
14.70000000,1988.07855000,144.20700000,0.00000000,29900.88000000,0.00000000
14.73000000,1983.74792550,144.50130000,0.00000000,29900.88000000,0.00000000
14.76000000,1979.40847200,144.79560000,0.00000000,29900.88000000,0.00000000
14.79000000,1975.06018950,145.08990000,0.00000000,29900.88000000,0.00000000
14.82000000,1970.70307800,145.38420000,0.00000000,29900.88000000,0.00000000
14.85000000,1966.33713750,145.67850000,0.00000000,29900.88000000,0.00000000
14.88000000,1961.96236800,145.97280000,0.00000000,29900.88000000,0.00000000
14.91000000,1957.57876950,146.26710000,0.00000000,29900.88000000,0.00000000
14.94000000,1953.18634200,146.56140000,0.00000000,29900.88000000,0.00000000
14.97000000,1948.78508550,146.85570000,0.00000000,29900.88000000,0.00000000
15.00000000,1944.37500000,147.15000000,0.00000000,29900.88000000,0.00000000
15.03000000,1939.95608550,147.44430000,0.00000000,29900.88000000,0.00000000
15.06000000,1935.52834200,147.73860000,0.00000000,29900.88000000,0.00000000
15.09000000,1931.09176950,148.03290000,0.00000000,29900.88000000,0.00000000
15.12000000,1926.64636800,148.32720000,0.00000000,29900.88000000,0.00000000
15.15000000,1922.19213750,148.62150000,0.00000000,29900.88000000,0.00000000
15.18000000,1917.72907800,148.91580000,0.00000000,29900.88000000,0.00000000
15.21000000,1913.25718950,149.21010000,0.00000000,29900.88000000,0.00000000
15.24000000,1908.77647200,149.50440000,0.00000000,29900.88000000,0.00000000
15.27000000,1904.28692550,149.79870000,0.00000000,29900.88000000,0.00000000
15.30000000,1899.78855000,150.09300000,0.00000000,29900.88000000,0.00000000
15.33000000,1895.28134550,150.38730000,0.00000000,29900.88000000,0.00000000
15.36000000,1890.76531200,150.68160000,0.00000000,29900.88000000,0.00000000
15.39000000,1886.24044950,150.97590000,0.00000000,29900.88000000,0.00000000
