u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,phi_rad,theta_rad,psi_rad,x_e,y_e,z_e
178.9945252626,-0.0000000000,17.3132352415,0.0000000000,-0.0001019180,0.0000000000,0.9985868743,-0.0000000000,0.0531437161,0.0000000000,316.6339127980,0.0000000000,-9003.1573187325
178.9926298732,-0.0000000000,17.3130539590,0.0000000000,-0.0001037281,0.0000000000,0.9985869289,-0.0000000000,0.0531426893,0.0000000000,320.2303148332,0.0000000000,-9003.1929656869
178.9907354775,-0.0000000000,17.3128711985,0.0000000000,-0.0001055222,0.0000000000,0.9985869845,-0.0000000000,0.0531416445,0.0000000000,323.8266788722,0.0000000000,-9003.2286047781
178.9888420748,-0.0000000000,17.3126870349,0.0000000000,-0.0001072997,0.0000000000,0.9985870411,-0.0000000000,0.0531405819,0.0000000000,327.4230049329,0.0000000000,-9003.2642359081
178.9869496644,-0.0000000000,17.3125015446,0.0000000000,-0.0001090600,0.0000000000,0.9985870985,-0.0000000000,0.0531395016,0.0000000000,331.0192930335,0.0000000000,-9003.2998589785
178.9850582455,-0.0000000000,17.3123148051,0.0000000000,-0.0001108024,0.0000000000,0.9985871570,-0.0000000000,0.0531384039,0.0000000000,334.6155431920,0.0000000000,-9003.3354738904
178.9831678170,-0.0000000000,17.3121268950,0.0000000000,-0.0001125264,0.0000000000,0.9985872163,-0.0000000000,0.0531372888,0.0000000000,338.2117554270,0.0000000000,-9003.3710805449
178.9812783777,-0.0000000000,17.3119378936,0.0000000000,-0.0001142316,0.0000000000,0.9985872765,-0.0000000000,0.0531361566,0.0000000000,341.8079297569,0.0000000000,-9003.4066788428
178.9793899262,-0.0000000000,17.3117478812,0.0000000000,-0.0001159176,0.0000000000,0.9985873377,-0.0000000000,0.0531350074,0.0000000000,345.4040662003,0.0000000000,-9003.4422686846
178.9775024611,-0.0000000000,17.3115569383,0.0000000000,-0.0001175839,0.0000000000,0.9985873997,-0.0000000000,0.0531338416,0.0000000000,349.0001647759,0.0000000000,-9003.4778499707
178.9756159808,-0.0000000000,17.3113651459,0.0000000000,-0.0001192302,0.0000000000,0.9985874626,-0.0000000000,0.0531326591,0.0000000000,352.5962255027,0.0000000000,-9003.5134226011
178.9737304837,-0.0000000000,17.3111725851,0.0000000000,-0.0001208562,0.0000000000,0.9985875264,-0.0000000000,0.0531314604,0.0000000000,356.1922483996,0.0000000000,-9003.5489864758
178.9718459679,-0.0000000000,17.3109793370,0.0000000000,-0.0001224617,0.0000000000,0.9985875911,-0.0000000000,0.0531302455,0.0000000000,359.7882334858,0.0000000000,-9003.5845414946
178.9699624318,-0.0000000000,17.3107854827,0.0000000000,-0.0001240464,0.0000000000,0.9985876565,-0.0000000000,0.0531290147,0.0000000000,363.3841807805,0.0000000000,-9003.6200875573
178.9680798735,-0.0000000000,17.3105911028,0.0000000000,-0.0001256102,0.0000000000,0.9985877229,-0.0000000000,0.0531277681,0.0000000000,366.9800903031,0.0000000000,-9003.6556245632
178.9661982910,-0.0000000000,17.3103962775,0.0000000000,-0.0001271531,0.0000000000,0.9985877900,-0.0000000000,0.0531265061,0.0000000000,370.5759620731,0.0000000000,-9003.6911524119
178.9643176827,-0.0000000000,17.3102010863,0.0000000000,-0.0001286748,0.0000000000,0.9985878580,-0.0000000000,0.0531252287,0.0000000000,374.1717961100,0.0000000000,-9003.7266710027
178.9624380464,-0.0000000000,17.3100056081,0.0000000000,-0.0001301755,0.0000000000,0.9985879267,-0.0000000000,0.0531239363,0.0000000000,377.7675924337,0.0000000000,-9003.7621802350
178.9605593804,-0.0000000000,17.3098099208,0.0000000000,-0.0001316550,0.0000000000,0.9985879963,-0.0000000000,0.0531226290,0.0000000000,381.3633510638,0.0000000000,-9003.7976800079
178.9586816828,-0.0000000000,17.3096141012,0.0000000000,-0.0001331135,0.0000000000,0.9985880666,-0.0000000000,0.0531213070,0.0000000000,384.9590720204,0.0000000000,-9003.8331702209
178.9568049519,-0.0000000000,17.3094182249,0.0000000000,-0.0001345510,0.0000000000,0.9985881377,-0.0000000000,0.0531199705,0.0000000000,388.5547553235,0.0000000000,-9003.8686507731
178.9549291857,-0.0000000000,17.3092223664,0.0000000000,-0.0001359677,0.0000000000,0.9985882095,-0.0000000000,0.0531186198,0.0000000000,392.1504009932,0.0000000000,-9003.9041215637
178.9530543826,-0.0000000000,17.3090265987,0.0000000000,-0.0001373638,0.0000000000,0.9985882821,-0.0000000000,0.0531172551,0.0000000000,395.7460090499,0.0000000000,-9003.9395824920
178.9511805411,-0.0000000000,17.3088309931,0.0000000000,-0.0001387395,0.0000000000,0.9985883555,-0.0000000000,0.0531158765,0.0000000000,399.3415795139,0.0000000000,-9003.9750334575
178.9493076594,-0.0000000000,17.3086356194,0.0000000000,-0.0001400949,0.0000000000,0.9985884295,-0.0000000000,0.0531144843,0.0000000000,402.9371124056,0.0000000000,-9004.0104743594
178.9474357363,-0.0000000000,17.3084405457,0.0000000000,-0.0001414304,0.0000000000,0.9985885043,-0.0000000000,0.0531130786,0.0000000000,406.5326077457,0.0000000000,-9004.0459050972
178.9455647702,-0.0000000000,17.3082458380,0.0000000000,-0.0001427464,0.0000000000,0.9985885797,-0.0000000000,0.0531116597,0.0000000000,410.1280655548,0.0000000000,-9004.0813255706
178.9436947601,-0.0000000000,17.3080515607,0.0000000000,-0.0001440430,0.0000000000,0.9985886559,-0.0000000000,0.0531102278,0.0000000000,413.7234858537,0.0000000000,-9004.1167356793
178.9418257047,-0.0000000000,17.3078577759,0.0000000000,-0.0001453208,0.0000000000,0.9985887327,-0.0000000000,0.0531087830,0.0000000000,417.3188686632,0.0000000000,-9004.1521353230
178.9399576032,-0.0000000000,17.3076645437,0.0000000000,-0.0001465800,0.0000000000,0.9985888103,-0.0000000000,0.0531073255,0.0000000000,420.9142140043,0.0000000000,-9004.1875244016
178.9380904546,-0.0000000000,17.3074719220,0.0000000000,-0.0001478212,0.0000000000,0.9985888884,-0.0000000000,0.0531058556,0.0000000000,424.5095218981,0.0000000000,-9004.2229028155
178.9362242583,-0.0000000000,17.3072799663,0.0000000000,-0.0001490448,0.0000000000,0.9985889673,-0.0000000000,0.0531043734,0.0000000000,428.1047923657,0.0000000000,-9004.2582704647
178.9343590138,-0.0000000000,17.3070887301,0.0000000000,-0.0001502513,0.0000000000,0.9985890467,-0.0000000000,0.0531028790,0.0000000000,431.7000254283,0.0000000000,-9004.2936272499
178.9324947207,-0.0000000000,17.3068982642,0.0000000000,-0.0001514411,0.0000000000,0.9985891268,-0.0000000000,0.0531013726,0.0000000000,435.2952211073,0.0000000000,-9004.3289730716
178.9306313789,-0.0000000000,17.3067086171,0.0000000000,-0.0001526148,0.0000000000,0.9985892076,-0.0000000000,0.0530998545,0.0000000000,438.8903794241,0.0000000000,-9004.3643078307
178.9287689883,-0.0000000000,17.3065198348,0.0000000000,-0.0001537730,0.0000000000,0.9985892889,-0.0000000000,0.0530983247,0.0000000000,442.4855004002,0.0000000000,-9004.3996314285
178.9269075491,-0.0000000000,17.3063319609,0.0000000000,-0.0001549161,0.0000000000,0.9985893709,-0.0000000000,0.0530967834,0.0000000000,446.0805840571,0.0000000000,-9004.4349437661
178.9250470618,-0.0000000000,17.3061450363,0.0000000000,-0.0001560449,0.0000000000,0.9985894534,-0.0000000000,0.0530952308,0.0000000000,449.6756304166,0.0000000000,-9004.4702447452
178.9231875268,-0.0000000000,17.3059590993,0.0000000000,-0.0001571598,0.0000000000,0.9985895366,-0.0000000000,0.0530936670,0.0000000000,453.2706395003,0.0000000000,-9004.5055342675
178.9213289449,-0.0000000000,17.3057741857,0.0000000000,-0.0001582615,0.0000000000,0.9985896203,-0.0000000000,0.0530920921,0.0000000000,456.8656113302,0.0000000000,-9004.5408122353
